index,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Deferribacteres,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WS2,D_0__Bacteria;__,Name,Collection,State,TimePoint
ERR2654627,575.0,1880.0,0.0,330.0,237.0,54.0,0.0,0.0,2.0,2.0,5.0,259.0,25.0,11.0,10.0,7.0,24.0,1690.0,19.0,0.0,849.0,0.0,311.0,H08A,September,control,Before drought
ERR2654497,721.0,1574.0,2.0,338.0,273.0,19.0,0.0,0.0,0.0,0.0,9.0,274.0,24.0,49.0,15.0,10.0,10.0,1775.0,45.0,0.0,850.0,0.0,309.0,D03C,September,control,A week recovery
ERR2654589,170.0,569.0,0.0,40.0,55.0,10.0,0.0,0.0,0.0,0.0,2.0,71.0,2.0,0.0,0.0,4.0,2.0,492.0,5.0,0.0,152.0,0.0,77.0,G05A,September,drought,Before drought
ERR2654418,1043.0,2036.0,0.0,454.0,445.0,578.0,0.0,0.0,0.0,4.0,4.0,347.0,25.0,58.0,19.0,12.0,50.0,2243.0,90.0,0.0,1266.0,0.0,472.0,A07B,September,drought,At the end of the drought
ERR2654549,1922.0,3131.0,0.0,1384.0,463.0,112.0,0.0,0.0,3.0,8.0,10.0,533.0,61.0,43.0,25.0,17.0,55.0,3637.0,50.0,2.0,1726.0,0.0,869.0,F01D,September,control,2 months recovery
ERR2654395,1036.0,1957.0,3.0,434.0,373.0,106.0,0.0,0.0,4.0,4.0,6.0,319.0,5.0,59.0,25.0,21.0,51.0,2412.0,82.0,0.0,1101.0,0.0,470.0,A01B,September,drought,At the end of the drought
ERR2654431,602.0,1097.0,0.0,135.0,75.0,4.0,0.0,0.0,0.0,0.0,0.0,360.0,11.0,0.0,3.0,0.0,15.0,2344.0,22.0,0.0,744.0,0.0,135.0,B02C,September,drought,A week recovery
ERR2654456,1888.0,3657.0,0.0,1006.0,624.0,87.0,0.0,2.0,0.0,4.0,4.0,677.0,44.0,52.0,35.0,41.0,55.0,3941.0,64.0,0.0,1766.0,0.0,851.0,C01A,September,drought,Before drought
ERR2654541,1376.0,1930.0,5.0,569.0,394.0,650.0,0.0,0.0,2.0,7.0,19.0,395.0,46.0,86.0,48.0,24.0,29.0,2367.0,95.0,0.0,1410.0,0.0,498.0,E08B,September,drought,At the end of the drought
ERR2654523,380.0,1053.0,0.0,192.0,60.0,38.0,0.0,3.0,0.0,0.0,6.0,305.0,11.0,0.0,3.0,24.0,8.0,1387.0,2.0,0.0,599.0,0.0,119.0,E02C,September,drought,A week recovery
ERR2654446,888.0,1431.0,0.0,151.0,190.0,17.0,0.0,0.0,0.0,2.0,0.0,162.0,34.0,23.0,12.0,6.0,10.0,1336.0,41.0,0.0,824.0,0.0,278.0,B06C,September,drought,2 months recovery
ERR2654532,628.0,1373.0,0.0,205.0,89.0,6.0,0.0,0.0,0.0,0.0,2.0,350.0,9.0,0.0,6.0,5.0,8.0,1376.0,15.0,0.0,859.0,0.0,212.0,E05C,September,drought,A week recovery
ERR2654630,851.0,1260.0,0.0,366.0,193.0,7.0,0.0,0.0,3.0,7.0,24.0,374.0,33.0,32.0,24.0,2.0,12.0,1569.0,35.0,0.0,728.0,0.0,282.0,H09C,September,control,A week recovery
ERR2654501,423.0,1162.0,0.0,122.0,147.0,21.0,0.0,0.0,0.0,0.0,2.0,167.0,14.0,17.0,5.0,37.0,10.0,809.0,22.0,0.0,439.0,0.0,181.0,D05A,September,drought,Before drought
ERR2654545,860.0,1747.0,0.0,421.0,157.0,31.0,0.0,0.0,0.0,0.0,18.0,325.0,18.0,2.0,9.0,14.0,18.0,2197.0,18.0,0.0,844.0,0.0,263.0,E11C,September,drought,A week recovery
ERR2654428,1538.0,3261.0,6.0,890.0,461.0,49.0,0.0,0.0,11.0,2.0,0.0,717.0,72.0,42.0,39.0,9.0,94.0,3173.0,60.0,0.0,1654.0,0.0,696.0,B01D,September,control,2 months recovery
ERR2654412,955.0,1732.0,0.0,277.0,144.0,11.0,0.0,0.0,0.0,2.0,3.0,445.0,33.0,11.0,13.0,23.0,56.0,2469.0,30.0,0.0,1431.0,2.0,243.0,A05D,September,drought,2 months recovery
ERR2654598,1283.0,3258.0,0.0,612.0,490.0,145.0,0.0,0.0,4.0,8.0,17.0,545.0,69.0,56.0,29.0,23.0,48.0,3086.0,68.0,0.0,1244.0,0.0,585.0,G07B,September,control,At the end of the drought
ERR2654425,1738.0,4021.0,0.0,1334.0,774.0,502.0,0.0,4.0,0.0,2.0,28.0,639.0,53.0,65.0,59.0,49.0,92.0,4571.0,73.0,0.0,1849.0,0.0,970.0,B01A,September,drought,Before drought
ERR2654619,1032.0,2110.0,0.0,500.0,148.0,14.0,0.0,4.0,0.0,2.0,2.0,722.0,49.0,4.0,7.0,261.0,19.0,3155.0,19.0,0.0,1614.0,0.0,301.0,H05C,September,drought,A week recovery
ERR2654448,1455.0,4063.0,0.0,1145.0,614.0,148.0,0.0,16.0,4.0,5.0,5.0,669.0,85.0,46.0,46.0,100.0,102.0,3648.0,44.0,0.0,1783.0,0.0,820.0,B07A,September,control,Before drought
ERR2654499,1477.0,1831.0,0.0,413.0,318.0,15.0,0.0,0.0,0.0,6.0,23.0,342.0,25.0,83.0,30.0,17.0,17.0,2423.0,26.0,2.0,1475.0,0.0,514.0,D04C,September,control,A week recovery
ERR2654486,1276.0,1410.0,0.0,481.0,311.0,11.0,0.0,0.0,0.0,2.0,0.0,285.0,72.0,75.0,35.0,7.0,17.0,1933.0,53.0,4.0,819.0,0.0,425.0,C11C,September,control,A week recovery
ERR2654493,476.0,1259.0,0.0,165.0,84.0,108.0,0.0,2.0,0.0,0.0,2.0,310.0,16.0,2.0,0.0,7.0,15.0,1688.0,4.0,0.0,779.0,0.0,172.0,D02C,September,drought,A week recovery
ERR2654573,857.0,1760.0,3.0,414.0,269.0,20.0,2.0,0.0,3.0,3.0,0.0,500.0,27.0,50.0,32.0,6.0,19.0,1842.0,20.0,0.0,867.0,0.0,423.0,F09C,September,control,A week recovery
ERR2654617,1013.0,4017.0,2.0,938.0,423.0,119.0,0.0,3.0,2.0,0.0,30.0,519.0,79.0,17.0,7.0,53.0,62.0,3114.0,12.0,0.0,1428.0,0.0,634.0,H05A,September,drought,Before drought
ERR2654515,971.0,1578.0,3.0,278.0,213.0,4.0,0.0,0.0,3.0,0.0,3.0,326.0,34.0,33.0,28.0,3.0,27.0,1831.0,47.0,0.0,884.0,0.0,300.0,D10C,September,drought,A week recovery
ERR2654539,1149.0,2713.0,0.0,556.0,405.0,125.0,0.0,6.0,0.0,2.0,71.0,415.0,65.0,51.0,26.0,39.0,32.0,2310.0,56.0,0.0,1295.0,0.0,569.0,E07B,September,control,At the end of the drought
ERR2654581,563.0,762.0,0.0,164.0,129.0,2.0,0.0,0.0,0.0,2.0,2.0,145.0,20.0,41.0,18.0,0.0,6.0,955.0,29.0,0.0,333.0,0.0,194.0,G02C,September,control,A week recovery
ERR2654544,666.0,1583.0,2.0,207.0,226.0,14.0,0.0,0.0,0.0,0.0,10.0,282.0,22.0,7.0,5.0,5.0,20.0,1398.0,35.0,0.0,788.0,0.0,256.0,E10C,September,drought,A week recovery
ERR2654438,747.0,1386.0,0.0,287.0,138.0,2.0,0.0,0.0,5.0,0.0,7.0,368.0,22.0,7.0,16.0,12.0,25.0,2005.0,32.0,0.0,964.0,0.0,189.0,B04C,September,drought,A week recovery
ERR2654504,1289.0,2068.0,2.0,650.0,464.0,11.0,0.0,0.0,3.0,2.0,14.0,469.0,43.0,40.0,36.0,18.0,41.0,2226.0,56.0,0.0,1335.0,0.0,532.0,D05D,September,control,2 months recovery
ERR2654575,1342.0,2625.0,0.0,789.0,149.0,20.0,0.0,0.0,0.0,0.0,0.0,759.0,44.0,6.0,9.0,26.0,77.0,4498.0,31.0,0.0,1658.0,0.0,421.0,F11C,September,drought,A week recovery
ERR2654444,835.0,2706.0,0.0,498.0,336.0,52.0,0.0,3.0,0.0,3.0,2.0,349.0,43.0,11.0,18.0,28.0,71.0,2110.0,20.0,0.0,1159.0,0.0,540.0,B06A,September,control,Before drought
ERR2654517,1523.0,3546.0,0.0,587.0,497.0,87.0,0.0,0.0,0.0,0.0,7.0,490.0,35.0,30.0,27.0,27.0,56.0,3360.0,47.0,0.0,1497.0,0.0,630.0,E01A,September,control,Before drought
ERR2654565,1560.0,2961.0,0.0,377.0,578.0,49.0,2.0,0.0,4.0,12.0,18.0,443.0,40.0,84.0,36.0,4.0,67.0,2881.0,103.0,0.0,1534.0,0.0,743.0,F06B,September,drought,At the end of the drought
ERR2654566,935.0,1775.0,0.0,278.0,225.0,78.0,0.0,0.0,0.0,0.0,32.0,237.0,28.0,25.0,16.0,3.0,8.0,1582.0,20.0,0.0,794.0,0.0,344.0,F06C,September,control,2 months recovery
ERR2654491,345.0,1150.0,0.0,129.0,119.0,14.0,0.0,0.0,0.0,0.0,0.0,162.0,9.0,2.0,2.0,0.0,5.0,984.0,16.0,0.0,351.0,0.0,173.0,D02A,September,drought,Before drought
ERR2654394,1316.0,3668.0,0.0,1248.0,442.0,682.0,0.0,14.0,0.0,2.0,2.0,581.0,44.0,26.0,39.0,80.0,72.0,3658.0,65.0,0.0,1528.0,0.0,678.0,A01A,September,drought,Before drought
ERR2654587,809.0,1247.0,2.0,235.0,217.0,2.0,0.0,0.0,0.0,5.0,7.0,262.0,49.0,59.0,37.0,0.0,9.0,1468.0,44.0,0.0,586.0,0.0,325.0,G04C,September,control,A week recovery
ERR2654624,1567.0,3139.0,0.0,1037.0,393.0,59.0,0.0,0.0,9.0,0.0,58.0,532.0,58.0,30.0,31.0,20.0,39.0,3056.0,41.0,0.0,1548.0,0.0,692.0,H06D,September,control,2 months recovery
ERR2654584,428.0,1002.0,0.0,165.0,181.0,10.0,0.0,0.0,2.0,0.0,6.0,131.0,27.0,44.0,12.0,4.0,2.0,828.0,24.0,0.0,470.0,0.0,227.0,G03B,September,control,At the end of the drought
ERR2654525,1157.0,2937.0,2.0,671.0,449.0,175.0,2.0,0.0,0.0,0.0,10.0,439.0,26.0,35.0,20.0,37.0,79.0,2642.0,48.0,0.0,1578.0,0.0,550.0,E03A,September,control,Before drought
ERR2654401,626.0,1250.0,0.0,174.0,61.0,7.0,0.0,0.0,0.0,0.0,0.0,358.0,10.0,0.0,10.0,18.0,17.0,1790.0,14.0,0.0,965.0,0.0,145.0,A02D,September,drought,2 months recovery
ERR2654440,939.0,2660.0,0.0,337.0,344.0,102.0,0.0,2.0,0.0,0.0,4.0,476.0,25.0,23.0,19.0,22.0,37.0,2063.0,20.0,0.0,1001.0,0.0,465.0,B05A,September,drought,Before drought
ERR2654492,225.0,509.0,0.0,50.0,78.0,0.0,0.0,0.0,0.0,0.0,5.0,86.0,4.0,12.0,8.0,0.0,5.0,638.0,27.0,0.0,344.0,0.0,93.0,D02B,September,drought,At the end of the drought
ERR2654475,1237.0,2716.0,0.0,479.0,446.0,319.0,3.0,0.0,0.0,2.0,5.0,424.0,45.0,38.0,45.0,34.0,21.0,2501.0,63.0,0.0,1199.0,0.0,558.0,C06A,September,control,Before drought
ERR2654514,1457.0,2964.0,4.0,904.0,510.0,22.0,0.0,0.0,0.0,7.0,15.0,510.0,78.0,60.0,42.0,31.0,39.0,3617.0,53.0,0.0,1529.0,0.0,667.0,D09C,September,control,A week recovery
ERR2654590,1504.0,2317.0,0.0,391.0,459.0,75.0,0.0,2.0,5.0,0.0,19.0,342.0,44.0,74.0,32.0,2.0,51.0,2732.0,94.0,2.0,1263.0,0.0,652.0,G05B,September,drought,At the end of the drought
ERR2654471,933.0,1983.0,0.0,234.0,246.0,25.0,0.0,0.0,0.0,2.0,4.0,381.0,8.0,27.0,19.0,22.0,11.0,1679.0,27.0,0.0,701.0,0.0,376.0,C05A,September,drought,Before drought
ERR2654592,1200.0,3286.0,3.0,1080.0,456.0,44.0,0.0,0.0,0.0,0.0,17.0,498.0,61.0,35.0,33.0,47.0,65.0,2896.0,61.0,0.0,1767.0,0.0,656.0,G05D,September,control,2 months recovery
ERR2654488,1235.0,2108.0,0.0,751.0,485.0,198.0,2.0,0.0,0.0,6.0,8.0,292.0,23.0,69.0,29.0,7.0,42.0,2532.0,98.0,0.0,1312.0,0.0,617.0,D01B,September,drought,At the end of the drought
ERR2654537,1691.0,2449.0,0.0,448.0,246.0,49.0,0.0,0.0,4.0,3.0,21.0,881.0,48.0,11.0,41.0,29.0,60.0,3423.0,63.0,0.0,2373.0,0.0,422.0,E06D,September,drought,2 months recovery
ERR2654622,1170.0,1744.0,2.0,367.0,367.0,16.0,0.0,0.0,0.0,7.0,12.0,297.0,26.0,48.0,35.0,2.0,45.0,1978.0,69.0,0.0,1225.0,0.0,414.0,H06B,September,drought,At the end of the drought
ERR2654478,784.0,2608.0,20.0,479.0,261.0,248.0,0.0,0.0,0.0,0.0,14.0,272.0,38.0,0.0,4.0,24.0,19.0,1940.0,13.0,0.0,986.0,0.0,382.0,C06D,September,control,2 months recovery
ERR2654574,791.0,1758.0,0.0,185.0,213.0,4.0,0.0,0.0,0.0,0.0,4.0,377.0,30.0,25.0,19.0,10.0,23.0,1786.0,33.0,0.0,916.0,0.0,318.0,F10C,September,drought,A week recovery
ERR2654596,1654.0,3173.0,0.0,665.0,462.0,50.0,0.0,0.0,2.0,2.0,8.0,599.0,62.0,15.0,25.0,58.0,80.0,3316.0,49.0,0.0,2479.0,0.0,540.0,G06D,September,drought,2 months recovery
ERR2654495,1140.0,2561.0,3.0,496.0,434.0,37.0,2.0,0.0,4.0,7.0,6.0,422.0,22.0,25.0,28.0,25.0,26.0,2256.0,54.0,0.0,1209.0,0.0,591.0,D03A,September,control,Before drought
ERR2654507,1809.0,3657.0,0.0,868.0,488.0,44.0,0.0,0.0,3.0,6.0,27.0,711.0,86.0,24.0,18.0,62.0,50.0,3574.0,36.0,0.0,2121.0,0.0,718.0,D06C,September,drought,2 months recovery
ERR2654557,1236.0,2435.0,0.0,490.0,159.0,58.0,2.0,0.0,2.0,3.0,7.0,691.0,33.0,6.0,10.0,107.0,64.0,3535.0,60.0,0.0,2297.0,0.0,369.0,F03D,September,drought,2 months recovery
ERR2654405,860.0,2022.0,0.0,456.0,94.0,28.0,4.0,0.0,0.0,0.0,0.0,479.0,24.0,2.0,3.0,44.0,46.0,2333.0,19.0,0.0,1518.0,0.0,258.0,A03D,September,drought,2 months recovery
ERR2654540,1351.0,3069.0,2.0,585.0,467.0,52.0,2.0,0.0,2.0,2.0,2.0,591.0,44.0,39.0,39.0,8.0,65.0,2897.0,51.0,0.0,1662.0,0.0,610.0,E08A,September,drought,Before drought
ERR2654583,289.0,1121.0,0.0,195.0,110.0,13.0,0.0,0.0,0.0,0.0,0.0,151.0,4.0,6.0,9.0,10.0,2.0,892.0,16.0,0.0,361.0,0.0,148.0,G03A,September,control,Before drought
ERR2654528,1498.0,2267.0,0.0,740.0,360.0,15.0,0.0,0.0,3.0,2.0,6.0,717.0,63.0,135.0,60.0,22.0,25.0,2752.0,60.0,0.0,1216.0,0.0,586.0,E04C,September,control,A week recovery
ERR2654472,911.0,1204.0,0.0,197.0,239.0,25.0,0.0,0.0,0.0,2.0,5.0,321.0,28.0,46.0,27.0,2.0,22.0,1492.0,64.0,0.0,1046.0,0.0,339.0,C05B,September,drought,At the end of the drought
ERR2654489,767.0,1690.0,0.0,329.0,156.0,45.0,0.0,0.0,0.0,2.0,4.0,435.0,52.0,0.0,4.0,37.0,16.0,1688.0,17.0,0.0,1252.0,0.0,279.0,D01C,September,drought,A week recovery
ERR2654629,770.0,1542.0,0.0,242.0,121.0,6.0,0.0,0.0,0.0,0.0,0.0,354.0,21.0,3.0,7.0,24.0,19.0,1739.0,6.0,0.0,922.0,0.0,230.0,H08C,September,drought,A week recovery
ERR2654422,1198.0,1939.0,0.0,579.0,198.0,61.0,0.0,0.0,2.0,9.0,4.0,605.0,52.0,16.0,23.0,24.0,27.0,3118.0,43.0,0.0,1608.0,0.0,328.0,A09C,September,drought,A week recovery
ERR2654600,587.0,1053.0,0.0,115.0,141.0,24.0,0.0,0.0,0.0,0.0,4.0,188.0,14.0,32.0,14.0,0.0,4.0,1044.0,37.0,0.0,563.0,0.0,194.0,G08B,September,drought,At the end of the drought
ERR2654432,610.0,1676.0,0.0,225.0,100.0,6.0,0.0,0.0,0.0,0.0,3.0,331.0,15.0,0.0,3.0,4.0,17.0,1816.0,25.0,0.0,774.0,0.0,181.0,B02D,September,drought,2 months recovery
ERR2654455,913.0,1606.0,0.0,433.0,249.0,8.0,0.0,0.0,3.0,0.0,20.0,221.0,37.0,28.0,19.0,8.0,15.0,1827.0,29.0,0.0,680.0,0.0,390.0,B11C,September,control,A week recovery
ERR2654399,416.0,764.0,0.0,109.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,8.0,14.0,14.0,2.0,5.0,854.0,36.0,0.0,354.0,0.0,126.0,A02B,September,control,At the end of the drought
ERR2654485,920.0,1653.0,0.0,388.0,282.0,10.0,0.0,0.0,0.0,10.0,5.0,271.0,53.0,45.0,24.0,3.0,22.0,1731.0,33.0,0.0,851.0,4.0,372.0,C10C,September,control,A week recovery
ERR2654481,1352.0,2887.0,0.0,430.0,409.0,41.0,0.0,2.0,0.0,2.0,0.0,446.0,33.0,32.0,23.0,25.0,28.0,2590.0,44.0,0.0,1503.0,0.0,573.0,C08A,September,control,Before drought
ERR2654542,805.0,1480.0,0.0,243.0,235.0,2.0,0.0,0.0,0.0,2.0,13.0,380.0,27.0,35.0,15.0,4.0,13.0,1508.0,52.0,0.0,784.0,0.0,265.0,E08C,September,drought,A week recovery
ERR2654402,1379.0,2865.0,0.0,598.0,474.0,349.0,3.0,2.0,0.0,2.0,3.0,523.0,29.0,45.0,22.0,45.0,90.0,2674.0,61.0,0.0,1638.0,0.0,558.0,A03A,September,control,Before drought
ERR2654453,554.0,2014.0,3.0,383.0,184.0,428.0,0.0,0.0,0.0,0.0,17.0,309.0,26.0,11.0,6.0,9.0,15.0,1616.0,13.0,0.0,684.0,0.0,239.0,B09C,September,control,A week recovery
ERR2654576,1269.0,3403.0,0.0,677.0,448.0,122.0,0.0,0.0,0.0,6.0,8.0,512.0,38.0,36.0,29.0,28.0,32.0,3247.0,43.0,0.0,1201.0,0.0,664.0,G01A,September,control,Before drought
ERR2654534,1471.0,3351.0,0.0,449.0,492.0,68.0,0.0,0.0,5.0,9.0,5.0,564.0,43.0,47.0,37.0,12.0,52.0,2687.0,47.0,0.0,1257.0,0.0,677.0,E06A,September,drought,Before drought
ERR2654524,1545.0,2329.0,0.0,631.0,476.0,50.0,0.0,0.0,3.0,0.0,3.0,433.0,65.0,67.0,53.0,15.0,27.0,2733.0,79.0,0.0,1113.0,2.0,630.0,E02D,September,control,2 months recovery
ERR2654398,213.0,1476.0,0.0,359.0,86.0,188.0,0.0,2.0,0.0,0.0,2.0,143.0,26.0,0.0,0.0,30.0,8.0,1006.0,12.0,0.0,438.0,0.0,172.0,A02A,September,control,Before drought
ERR2654508,1747.0,2412.0,6.0,752.0,618.0,22.0,0.0,0.0,0.0,6.0,20.0,599.0,87.0,76.0,48.0,28.0,21.0,2738.0,72.0,0.0,1370.0,0.0,633.0,D06D,September,drought,2 months recovery
